SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
11,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,"Supply of Critical Hardware (Modules, PS, Computer, & Switches) for DPTPP Distributed Control System (DCS)",Distributed Control System,DCS Hardwares,DPC-MAINT-RS-2024-IC-M013,"May 31, 2024",Served,BRF-PAL-2024-00846,"₱3,343,163.59","August 1, 2024",APPROVED,"August 28, 2024",PR008546,"August 28, 2024",APPROVED,,,Oct-08-2024,"FPO-000161,
PO-008022        ","Jan 16, 2025",APPROVED,"RVCGBI,
AMPTECH INDUSTRIAL",,,,
12,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Hardwares for DPTPP Limestone Handling System Programmable Logic Controller (PLC),Limestone Handling System,PLC,DPC-MAINT-RS-2024-IC-M015,"August 9, 2024",Served,BRF-PAL-2024-00943,"₱126,358.10","September 12, 2024",APPROVED,"October 30, 2024",PR008649,"October 30, 2024",APPROVED,,,Nov-26-2024,PO-008158,"Mar 18, 2025",APPROVED,MTECH INDUSTRIAL AUTOMATION CORPORATION,DELIVERED,,,
13,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical Hardwares for DPTPP Ash Handling System Programmable Logic Controller (PLC),Ash Handling system,PLC,DPC-MAINT-RS-2024-IC-M016,"August 9, 2024",Served,BRF-PAL-2025-01345,"₱100,500.00","April 30, 2025",APPROVED,,,,,,,,,,,,,"May 15, 2025","May 16, 2025",
14,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,Supply of Critical Hardwares for DPTPP CEMS Programmable Logic Controller (PLC),CEMS,PLC,DPC-MAINT-RS-2024-IC-M017,"August 9, 2024",Served,BRF-PAL-2024-00944,"₱150,240.20","September 12, 2024",APPROVED,"October 30, 2024",PR008650,"October 30, 2024",APPROVED,,,Nov-26-2024,,,,,,,,
15,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Hardwares for DPTPP Water Treatment System Programmable Logic Controller (PLC),Water Treatment System,PLC,DPC-MAINT-RS-2024-IC-M018,"August 9, 2024",Served,BRF-PAL-2024-01106,"₱504,740.62","December 3, 2024",APPROVED,"January 2, 2024",PR008775,"January 2, 2024",APPROVED,,,February-21-2025,PO-008249,"Apr 23, 2025",APPROVED,AMPTECH INDUSTRIAL SUPPLIES,DELIVERED,,,
17,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical Hardwares for DPTPP Soot Blowing System Programmable Logic Controller (PLC),Sootblowing System,PLC,DPC-MAINT-RS-2024-IC-M020,"August 9, 2024",Served,BRF-PAL-2025-01349,"₱51,512.29","May 7, 2025",,,,,,,,,,,,,,"Tuesday, May 13, 2025 10:07 AM","June 24, 2025",
18,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Hardwares for DPTPP Electrostatic Precipitator System Programmable Logic Controller (PLC),Electro Static Precipitator System,PLC,DPC-MAINT-RS-2024-IC-M021,"August 9, 2024",Served,BRF-PAL-2025-01437,For final Bidding,"June 17, 2025",APPROVED,,PR009226,"July 19, 2025",FOR APPROVAL,,,,,,,,,,,
19,OTHERS,I&C,DPTPP - Narra 1,DELIVERED,"Reimbursement of the Expenses for the Accommodation, Meals, and Air Fare of Third Party Contractor (AR Lumpas) During the Ocular Inspection for the CEMS Repair at DPTPP Narra",Flue gas System,CEMS,DPC-MAINT-RS-2024-IC-M022,,Served,,"₱36,480.00",,APPROVED,,,,,,,,,,,,DELIVERED,,,
20,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,"Supply of Critical Solenoid Valves, Speed Instruments for DPTPP Turbine System",Turbine System,Turbine Speed measuring Instruments,DPC-MAINT-RS-2024-IC-M023,"March 20, 2025",Served,BRF-PAL-2025-01270,"₱319,410.00","March 21, 2025",APPROVED,"April 2, 2025",PR008974,"April 2, 2025",APPROVED,"April 10, 2025","April 10, 2025",,,,,,,,,
21,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Replacement Electronic Control Board for the Slag Cooler B Condensate Water Inlet MOV at DPTPP Narra,Slag Cooler System,Slag Cooler B,DPC-MAINT-RS-2024-IC-M024,"August 6, 2024",Served,BRF-PAL-2024-00920,"₱218,496.58","September 3, 2024",APPROVED,"September 11, 2024",PR008583,"September 11, 2024",APPROVED,,,"October 15, 2024",FPO-000149,"October 23, 2024",APPROVED,UNIENERGY ENGINEERING LMTD.,DELIVERED,,,
22,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Stand-alone Pure Air Generator for the Air Supply of CEMS at DPTPP Narra,Flue gas System,CEMS,DPC-MAINT-RS-2024-IC-M025,/,Served,BRF-PAL-2024-00937,"₱280,000.00","September 10, 2024",APPROVED,"October 10,2024",PR008630,"October 10,2024",APPROVED,,,"October 18, 2024",FPO-000150,"October 30, 2024",APPROVED,RVCGBI,DELIVERED,"October 31, 2024","October 30, 2024",
23,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Electrodes for Steam Drum Electrical Contact Level Gauge at DPTPP Narra,Main Steam System,Steam Drum,DPC-MAINT-RS-2024-IC-M026,"September 10, 2024",Served,BRF-PAL-2024-00999,"₱147,900.00","October 18,2024",APPROVED,"November 13, 2024",PR008675,"November 13, 2024",APPROVED,,,"Thu, Dec 5, 2024",FPO-000174,"March 11, 2025",APPROVED,RVCGBI AND RVC GLOBAL MANAGEMENT,DELIVERED,,,
24,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING BUDGET,Supply of Temperature Sensor and AA Batteries for the Compressed Air Dryer and Digital Temperature Indicator at DPTPP Narra,Compressed Air System,Compressed Air Dryer,DPC-MAINT-RS-2024-IC-M027,"October 23, 2024",Served,BRF-PAL-2024-01051,"₱95,800.00","November 12, 2024",APPROVED,,,,,,,,,,,,,"November 26,2024",,
25,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Temperature transmitter and Thermocouple Terminal Blocks at DPTPP Narra,Integrated System,Temperature measuring Instrumets,DPC-MAINT-RS-2024-IC-M028,"October 23, 2024",Served,BRF-PAL-2025-01348,"₱28,743.60","May 7, 2025",APPROVED,,,,,,,,,,,SMI,PENDING,"Tuesday, May 13, 2025 10:08 AM","June 24, 2025",
26,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Open and Close Position Indicator of Pneumatic Valves at DPTPP Narra Water Treatment Plant,Water Treatment System,Pneumatic Valves,DPC-MAINT-RS-2024-IC-M029,"October 23, 2024",Served,BRF-PAL-2024-01027,"₱126,249.00","October 30,2024",APPROVED,"November 13, 2024",PR008674,"November 13, 2024",APPROVED,,,"Thu, Dec 5, 2024",FPO-000168,"February 5, 2025",APPROVED,UNIENERGY ENGINEERING LIMITED,,,,
27,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Angle Seat Pneumatic Valves for the Ash Handling System at DPTPP Narra,Ash Handling system,Ash BIns,DPC-MAINT-RS-2024-IC-M030,"October 18, 2024",Served,BRF-PAL-2024-01006,"₱97,150.00","October 22,2024",APPROVED,,,,,,,,,,,,DELIVERED,"October 24, 2024",,
28,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Verification Equipments for DPTPP process instruments,Miscellaneous,Beamex mc6,DPC-MAINT-RS-2024-IC-M031,"October 23, 2024",Pending,BRF-PAL-2024-01128,"₱1,262,000.00","December 11, 2024",,"January 20, 2024",PR008807,"January 20, 2024",APPROVED,"January 27, 2024","January 27, 2024",March-11-2025,PO-008203,"April 7, 2025",APPROVED,Accuro,,,,
29,OTHERS,I&C,DPTPP - Narra 1,FOR FOLLOW UP,"Supply of I&C Maintenance Laptop and accessories intended for data analysis, monitoring system performance, and software troubleshooting at DPTPP.",Miscellaneous,Laptop and Accessories,DPC-MAINT-RS-2024-IC-M032,"October 24, 2024",Served,BRF-PAL-2024-01101,"₱102,000.00","November 28, 2024",APPROVED,"June 5, 2025",PR009112,"June 5, 2025",APPROVED,"June 9, 2025","June 9, 2025",,,,,,PARTIAL,,,
30,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical Spare parts for  DPTPP Feedwater System Pneumatic Control Valve and Pneumatic Actuator.,Feedwater System,Pneumatic Control Valve,DPC-MAINT-RS-2024-IC-M033,"October 31, 2024",,,,,,,,,,,,,,,,,,,,
31,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR P.O,Supply of Critical Spare parts for  DPTPP Feedwater System Pressure transmitter and Differential Pressure transmitter,Feedwater System,Pressure Measuring Instruments,DPC-MAINT-RS-2024-IC-M034,"October 31, 2024",Served,BRF-PAL-2024-01052,"₱198,011.54","November 12, 2024",APPROVED,"November 27, 2024",PR008713,"November 27, 2024",APPROVED,,,"Tue, Dec 17, 2024",,,,,,,,
32,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare parts for  DPTPP Feedwater System Steam Drum Thermocouple,Feedwater System,Steam Drum,DPC-MAINT-RS-2024-IC-M035,"October 31, 2024",Served,BRF-PAL-2024-01092,"₱904,681.6","November 13, 2024",APPROVED,"December 10, 2024",PR008746,"December 10, 2024",APPROVED,,,February-14-2025,PO-008106,February-21-2025,APPROVED,Sensing technology Corp.,DELIVERED,,,
33,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare parts for  DPTPP Electro-Pneumatic Positioners,Integrated System,E/P Positioners,DPC-MAINT-RS-2024-IC-M036,"November 5, 2024",Pending,BRF-PAL-2024-01111,"₱252,460.45","December 3, 2024",,"January 2, 2024",PR008773,"January 2, 2024",APPROVED,"Jan 14, 2025","Jan 14, 2025",April-2-2025,FPO-000197,"May 7, 2025",APPROVED,RVCGBI,,,,
34,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare parts for  DPTPP  Ash Bins Pneumatic Hose,Ash Handling system,Ash BIns,DPC-MAINT-RS-2024-IC-M037,"November 4, 2024",Served,BRF-PAL-2024-01035,"₱17,650.00","November 4, 2024",APPROVED,,,,,,,,,,,,DELIVERED,"November 8, 2024",,
35,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical SpareParts for DPTPP IDF & Seawater intake MOVs,Seawater Intake System,MOVs,DPC-MAINT-RS-2024-IC-M038,"November 5, 2024",,,,,,,,,,,,,,,,,,,,
36,OTHERS,I&C,DPTPP - Narra 1,DELIVERED,"Supply of Materials for the Cleaning, Repainting, & Canopy Installation for the MOVs, Panels, & Instruments at DPTPP Narra",Integrated System,Roofing equipments,DPC-MAINT-RS-2024-IC-M039,"November 6, 2024",Served,BRF-PAL-2024-01042,"₱97,825.00","November 6, 2024",APPROVED,,,,,,,,,,,,DELIVERED,"November 14, 2024",,
37,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Critical spare parts for DPTPP Boiler Furnace Pressure Transmitters and Pressure Switches,Boiler Combustion System,Furnace,DPC-MAINT-RS-2024-IC-M040,"November 7, 2024",Served,BRF-PAL-2024-01108,"₱1,484,736.61",,APPROVED,"December 11, 2024",PR008751,"December 11, 2024",APPROVED,,,February-21-2025,FPO-000175 /FPO-000176,"Mar 25, 2025",APPROVED,Taihe Electric/United Electric,PARTIAL,,,
38,REGULAR PMS CONSUMABLES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Calibration Gases for DPTPP CEMS,Flue gas System,CEMS,DPC-MAINT-RS-2024-IC-M042,"November 18, 2024",Served,BRF-PAL-2024-01077,"₱714,496.00","November 20, 2024",APPROVED,"December 10, 2024",PR008745,"December 10, 2024",APPROVED,"January 20, 2024","January 20, 2024",January-27-2025,"PO-008096
PO-008083",February-18-2025,APPROVED,CYRO-ASIA/ATEX,DELIVERED,,,
39,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare Parts of Radar Level Gauge for DPTPP Biomass & Coal Bunker,Biomass Handling System,Bunkers,DPC-MAINT-RS-2024-IC-M043,"November 27, 2024",Served,BRF-PAL-2024-01107,"₱441,681.45","December 3, 2024",APPROVED,"December 27, 2024",PR008770,"December 27, 2024",APPROVED,"January 6, 2024","January 6, 2024",February-14-2025,FPO-000169,February-21-2025,APPROVED,UNIENERGY ENGINEERING LIMITED,,,,
40,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Parts for DPTPP (460 Vac Power Supply)Valve Distribution cabinet ATS,MV and LV System,ATS,DPC-MAINT-RS-2024-IC-M044,"November 29, 2024",Served,BRF-PAL-2025-01173,"₱208,450.76","January 16, 2025",APPROVED,"February 12, 2025",PR008847,"February 12, 2025",APPROVED,"February 18, 2024","February 18, 2024",February-17-2025,FPO-000173,March-11-2025,APPROVED,RVCGBI,DELIVERED,,,
41,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Critical Spare parts RTD of Slag cooler & Thermocouple of Boiler furnace,Boiler Combustion System,Furnace,DPC-MAINT-RS-2024-IC-M045,"December 5, 2024",Served,BRF-PAL-2025-01350,"₱89,000.00","May 7, 2025",APPROVED,,,,,,,,,,,,,"Tuesday, May 13, 2025 10:08 AM","June 24, 2025",
42,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Parts for Compressed Air Dryer at DPTPP-Narra,Compressed Air System,Air Dryer,DPC-MAINT-RS-2024-IC-M046,"December 6, 2024",Pending,BRF-PAL-2024-01122,"₱365,381.14","December 6, 2024",,"December 27, 2024",PR008769,"December 27, 2024",APPROVED,"January 6, 2024","January 6, 2024",February-27-2025,FPO-000193,"June 4, 2025",APPROVED,RVCGBI,,,,
43,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Spare parts for DPTPP Boiler Blocking Sampling Device,Flue gas System,Furnace,DPC-MAINT-RS-2024-IC-M047,"December 10, 2024",Served,BRF-PAL-2025-01398,"₱111,339.00","May 29, 2025",APPROVED,"June 19, 2025",PR009136,"June 19, 2025",APPROVED,"June 24, 2025","June 24, 2025",,PO-008427 ( Not later than 16 October 2025),"August 7, 2025",APPROVED,INSTRUFIT,,,,
44,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Spare parts for DPTPP Narra Speed Detector and Proximity switches,Coal Handling System,Conveyor belts,DPC-MAINT-RS-2024-IC-M048,"December 13, 2024",,,,,,,,,,,,,,,,,,,,
45,OTHERS,I&C,DPTPP - Narra 1,DELIVERED,Supply of Instrument Reconditioning Equipments for DPTPP process instruments,Miscellaneous,Special tools,DPC-MAINT-RS-2024-IC-M049,"December 26, 2024",Pending,BRF-PAL-2025-01238,"₱230,916.00","Feb 25, 2025",,"March 6, 2025",PR008911,"March 6, 2025",APPROVED,"March 17, 2024","March 17, 2024",April-11-2025,PO-8262,,APPROVED,SMI,DELIVERED,,,
46,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare parts for DPTPP Steam Header Instruments,Main Steam System,Steam Header,DPC-MAINT-RS-2025-IC-M001,"January 7, 2025",,BRF-PAL-2025-01226,"₱667,013.80","February 19, 2025",APPROVED,"March 6, 2025",PR008910,"March 6, 2025",APPROVED,"March 17, 2024","March 17, 2024",April-1-2025,FPO-000194 ,,,RVCGBI,,,,
47,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Safety spare parts for DPTPP temperature transmitters and sensors,Integrated System,Temperature Measuring Instruments,DPC-MAINT-RS-2025-IC-M002,"January 8, 2025",,,,,,,,,,,,,,,,,,,,
48,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Spare Parts for DPTPP Shockwave Sootblower,Flue gas System,Sootblower,DPC-MAINT-RS-2025-IC-M003,"January 9, 2025",,BRF-PAL-2025-01445,For final bidding,"June 20, 2025",APPROVED,,PR009227,"July 19, 2025",FOR APPROVAL,,,,,,,,,,,
49,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Spare parts for DPTPP SWASS,Dosing and Sampling System,SWASS,DPC-MAINT-RS-2025-IC-M004,"January 9, 2025",,BRF-PAL-2025-01473,For final bidding,"July 7,2025",APPROVED,,PR009228,"July 19, 2025",FOR APPROVAL,,,,,,,,,,,
50,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,"Supply of Critical Spare Parts for R.O. Flow, Conductivity, And pH/ORP Transmitters and Electrodes",Water Treatment System,R.O.,DPC-MAINT-RS-2025-IC-M005,"January 9, 2025",,BRF-PAL-2025-01451,For final bidding,"July 3,2025",APPROVED,"July 11, 2025",PR009193,"July 12, 2025",APPROVED,"July 30, 2025","July 30, 2025","August 13, 2025",FPO-000232,"August 20, 2025",,,,,,
51,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical Safety Spare parts for DPTPP Water Treatment Pneumatic Actuator and Pressure Switch,Water Treatment System,R.O.,DPC-MAINT-RS-2025-IC-M006,"January 14, 2025",,,,,,,,,,,,,,,,,,,,
52,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical Spare Parts for DPTPP R.O. Electric Actuators,Water Treatment System,R.O.,DPC-MAINT-RS-2025-IC-M007,"January 14, 2025",,,,,,,,,,,,,,,,,,,,
53,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Replacement parts for DPTPP Slag cooler flow switch,Slag Cooler System,Slag Cooler,DPC-MAINT-RS-2025-IC-M008,"February 12, 2025",Served,BRF-PAL-2025-01278,"₱15,000.00","March 27, 2025",,,,,,,,,,,,,DELIVERED,"Tuesday, May 13, 2025 10:08 AM","May 15,2025",
54,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Replacement parts for DPTPP MOVs and Temperature sensors,Integrated System,Integrated equipments,DPC-MAINT-RS-2025-IC-M009,"February 12, 2025",,BRF-PAL-2025-01439,For final bidding,"June 17, 2025",APPROVED,,PR009229,"July 19, 2025",FOR APPROVAL,,,,,,,,,,,
55,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical PMS parts for DPTPP Flue gas system Thermocouples and RTDs,Flue gas System,Furnace,DPC-MAINT-RS-2025-IC-M010,"February 14, 2025",Served,,,,APPROVED,"June 24, 2025",PR009149,"June 24, 2025",APPROVED,"July 4, 2025","July 4, 2025","August 7, 2025",PO-008466,"August 20, 2025",,,,,,
56,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Spare Parts for DPTPP Coal Feeders,Coal Handling System,Coal Feeders,DPC-MAINT-RS-2025-IC-M011,"February 19, 2025",Served,BRF-PAL-2025-01458,For final bidding,"June 30, 2025",APPROVED,,PR009230,"July 19, 2025",FOR APPROVAL,,,,,,,,,,,
57,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,DELIVERED,Supply of Critical Spare Parts for DPTPP Steam system Thermocouples,Main Steam System,Temperature Measuring Instruments,DPC-MAINT-RS-2025-IC-M012,"February 21, 2025",Pending,BRF-PAL-2025-01241,"₱157,362.00","February 25, 2025",,"March 6, 2025",PR008912,"March 6, 2025",APPROVED,"March 17, 2024","March 17, 2024","May 19, 2025",PO-008327,,APPROVED,SENSING TECHNOLOGY CORPORATION,DELIVERED,,,
58,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Digital Input Module for DPTPP DCS,Distributed Control System,I/O Module,DPC-MAINT-RS-2025-IC-M013,"February 25, 2025",,BRF-PAL-2025-01239,"₱440,078.40","February 26, 2025",APPROVED,"March 6, 2025",PR008909,"March 6, 2025",APPROVED,"March 17, 2024","March 17, 2024","March 27, 2024",FPO-000185,,APPROVED, RVCGBI,,,,
59,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,AWAITING QUOTATION,Supply of Critical Spare parts for DPTPP Ash bin Instruments,Ash Handling system,Ash Bins,DPC-MAINT-RS-2025-IC-M014,"March 3, 2025",,,,,,,,,,,,,,,,,,,,
60,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR PR APPROVAL,Supply of Critical Replacement Parts for DPTPP Transmitters,Integrated System,Integrated equipments,DPC-MAINT-RS-2025-IC-M015,"March 3, 2025",,BRF-PAL-2025-01440,For final bidding,"June 17, 2025",APPROVED,"July 11, 2025",PR009194,"July 12, 2025",FOR APPROVAL,,,,,,,,,,,
61,CRITICAL/SAFETY SPARES,I&C,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Parts for DPTPP Condenser vacuum switch and transmitter,Turbine Condensation Water System,Condenser,DPC-MAINT-RS-2025-IC-M016,"March 4, 2025",,BRF-PAL-2025-01466,For final bidding,"July 3, 2025",APPROVED,,PR009231,"July 20, 2025",APPROVED,"August 5, 2025","August 5, 2025",,,,,,,,,
