UID,Work Order Num,Timestamp,Type,Department,System,Equipment,Sub-Component,Brief Description of Problem or Work,Detailed Description,Date and Time Occurred,Pictures,Upload File,Severity,Maintenance Section,Reported by,Initial Inspection,Parts Needed,Manpower Requirement,Special Tools,Schedule,Methodology,Inspection Status,Maintenance Inspection Completed,Maintenance Superintendent Approval,Maintenance Superintendent Remarks,Maintenance Superintendent Approval Completed,Parts Needed Checking,Manpower Requirement Checking,Special Tools Checking,Schedule Checking,Planning Remarks,Planning Finished,Required Safety Permits,Remarks,Required PPEs,Safety Permit Identification Completed,Manpower,Upload PTW,Maintenance PTW Completed,Required Safety Permits Checking,Remarks Checking,Required PPEs Checking,Manpower Checking,LOTO Checking,Safety Inspection Completed,Actual Work Done,Actual Parts Used,Photos,Maintenance Remarks,Parameters Remarks,Date and Time Finished,QA QC,QA QC Remarks,File Upload,RCA Upload,QA/QC Finished,Equipment Status,WO Close Out,Operation Closed Out Completed,Current Status,Breakdown Count,Work Request Status,Formula 1,Formula 2,Planning Only,*Planning Remarks,WR Status,Days Delayed,Images
3f688fb7,DPTPP-WR-2024-080,11/8/2024 15:30:28,CMS,Operations,Water Treatment System,Flocculant Dosing Device A,WATER TREATMENT AREA (CHEMICAL TANK PAC),LEVEL INDICATOR DISCONNECTED,THE LEVEL INDICATOR OF A PAC TANK WAS DISCONNECTED DUE TO THE VIBRATION OF A BLENDER INSTALL AT THE TOP OF THE PAC TANK,11/8/2024 0:00:00,Work Order Request_Images/3f688fb7.Pictures.080314.jpg,,Sustainable,I&C,YMAR LAHAN,For close-out,N,,N,Non-Shutdown,Work Order Request_Files_/3f688fb7.Methodology.095009.pdf,Completed,11/19/2024 13:21:23,TRUE,,11/19/2024 21:38:38,,,,,,,,,,,I&C Tech._A. Silang,,,,,,,,,,,,,,,,"Routinely inspect the connection of the float switch on-site for any signs of wear and ensure it moves freely and isn't stuck, and check the PLC if indicating low level if the tank is at low level, by performing this routine we can assure continuous operation of the water treatment plant.",Work Order Request_Files_/3f688fb7.File Upload.030017.pdf,,11/27/2024 10:59:10,Operational,Closed,12/4/2024 0:00:24,0,0,Closed,Closed,Planning,,Done,Done,Repaired in 26 days,https://drive.google.com/file/d/1Gt-vHThdxsk9dqaD5R7xr54rQm71ONpy/view
25283654,DPTPP-WR-2024-081,11/9/2024 7:48:16,CMS,Operations,Fly Ash Handling System,Ash Bin 2,Pneumatic fittings of Ash hopper 2 Feed Valve,Broken fittings of Ash Hopper 2 Feed Valve return line,"The locking mechanism of the pneumatic fittings is broken. When the Ash Hopper 2 is in service, the pneumatic hose slips off resulting in compressed air leak.",11/9/2024 8:00:00,Work Order Request_Images/25283654.Pictures.001917.jpg,,Sustainable,I&C,F. Javier/A. Abrea,For close-out,Y,,N,Equipment Shutdown,Work Order Request_Files_/25283654.Methodology.014756.pdf,Inspection Completed,11/19/2024 8:21:51,TRUE,,11/19/2024 21:39:07,TRUE,TRUE,FALSE,TRUE,For schedule,11/20/2024 10:10:09,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/22/2024 16:18:09,I&C Tech._A. Silang,Work Order Request_Images/25283654.Upload PTW.074427.jpg,11/22/2024 15:44:10,TRUE,TRUE,TRUE,TRUE,TRUE,11/22/2024 16:18:16,Replace fitting,Pneumatic quick connect fitting,Work Order Request_Images/25283654.Photos.074427.jpg,Fitting replaced,Normal,11/22/2024 15:44:41,,"Regular inspection of the pneumatic fittings on Ash Hopper 2 Feed Valve is recommended to check for wear, leaks, or damage, ensure all connections are securely tightened, and replace any defective fittings to ensure efficient and dependable operation.",Work Order Request_Files_/25283654.File Upload.020635.xlsx - DPC-TSD-IWR-049.pdf,,11/24/2024 9:56:51,Operational,Closed,11/25/2024 18:08:11,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 16 days,https://drive.google.com/file/d/19F17W4Gp8CFnHW8Q41Ep-9mjPhdlm-Ex/view
35f9e0f4,DPTPP-WR-2024-082,11/9/2024 16:21:31,CMS,Operations,Biomass Handling System,Biomass Bunker,"Sight glass  of A , B are bloated and crack",bloated and crack,"during de-clogged and feeding of Biomasss, fire up to screw feeder resulting damage of sight glass.",11/9/2024 15:01:00,Work Order Request_Images/35f9e0f4.Pictures.085050.jpg,Work Order Request_Images/35f9e0f4.Upload File.085050.jpg,Sustainable,Mechanical,R. Corros/A. Abrea,For repair,Plain sheet,,none,Equipment Shutdown,Work Order Request_Files_/35f9e0f4.Methodology.064406.pdf,For replacement of temporary sight glass,11/19/2024 14:44:19,TRUE,,11/19/2024 21:38:09,TRUE,TRUE,TRUE,TRUE," For scheduling, July 2, 2025",5/27/2025 13:08:03,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear PPEs properly. Conduct housekeeping after the work is done. Properly label and dispose wastes generated,"Hard hat, Safety shoes, Goggles, Face mask",5/29/2025 15:34:46,"Mechanic_R. Botavara , Helper_S. Bundac",Work Order Request_Images/35f9e0f4.Upload PTW.015250.jpg,6/26/2025 9:50:50,TRUE,TRUE,TRUE,TRUE,TRUE,6/27/2025 8:41:53,"Replaced temporarily with plain sheet while resolving the hot air back flow, for replacement of glass after rectification of the said problem",17 x 14 plain sheet,Work Order Request_Images/35f9e0f4.Photos.015250.jpg,Repaired temporarily,None,6/26/2025 9:52:21,,"Ensure strict adherence to biomass feeding protocols, verify proper installation and material specifications of sight glass components and conduct routine inspections to detect early signs of heat damage",Work Order Request_Files_/35f9e0f4.File Upload.031308.pdf,,7/1/2025 11:12:32,Operational,Closed,7/7/2025 16:08:40,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 240 days,https://drive.google.com/file/d/1tSaDagIrZFw96cOs8HGANouydFM4WYOy/view
e931225e,DPTPP-WR-2024-083,11/10/2024 7:03:15,CMS,Operations,Coal Pipe System,Coal Feeder C,Coal feeder discharges chute,Coal dust leak,Coal dust leak from coal discharges chute before exit valve,11/10/2024 0:00:00,Work Order Request_Images/e931225e.Pictures.234057.jpg,,Sustainable,Mechanical,Alberth C. Apostol and  Jude Mykael Impel,For repair,Epxylon,,None,Equipment Shutdown,Work Order Request_Files_/e931225e.Methodology.085209.pdf,For repair,11/15/2024 16:52:21,TRUE,,11/17/2024 11:29:33,TRUE,TRUE,TRUE,TRUE,For schedule,11/17/2024 11:33:00,Permit to Work,Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask",11/20/2024 11:17:38,"Mechanic_C. Ilagan , Welder_R. Sotito",Work Order Request_Images/e931225e.Upload PTW.063058.jpg,11/26/2024 14:29:47,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:06:04,Cleaned surface then applied epxylon,Epxylon,Work Order Request_Images/e931225e.Photos.063058.jpg,Repaired,Monitor condition,11/26/2024 14:30:12,,The coal feeder C discharge chute repair should include verifying the effectiveness of the sealing ensuring proper alignment of components documenting the repair process and confirming the chute is free from leaks during a functional test.,Work Order Request_Files_/e931225e.File Upload.053118.xlsx - DPC-TSD-IWR-061.pdf,,12/4/2024 13:20:57,Operational,Closed,12/11/2024 19:36:17,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 31 days,https://drive.google.com/file/d/1GCgSE6y8xS_6tKjbDcgYb2QUzMuD2OTs/view
6aadd889,DPTPP-WR-2024-084,11/11/2024 12:51:00,CMS,Operations,Compressed Air System,Air Storage tank 2M^3,Drain valve,Air leak,Passing air at drain valve of water treatment air supply tank,11/11/2024 0:00:00,Work Order Request_Images/6aadd889.Pictures.093501.jpg,,Sustainable,Mechanical,Kritzner Jimenez,For repair,1/2 inch ball valve,,None,Non-Shutdown,Work Order Request_Files_/6aadd889.Methodology.032306.pdf,For replacement of valve,11/15/2024 11:23:17,TRUE,,11/17/2024 11:29:39,TRUE,TRUE,TRUE,TRUE,For schedule,11/17/2024 11:33:09,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/20/2024 11:19:10,"Mechanic_F.Esmenda , Welder_R. Sotito",Work Order Request_Images/6aadd889.Upload PTW.012419.jpg,11/27/2024 9:22:51,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:06:34,Replace drain valve,Ball valve,Work Order Request_Images/6aadd889.Photos.012419.png,Done replacement,None,11/27/2024 9:23:13,,Remarks for the drain valve repair should include verifying the absence of air leaks ensuring the valve operates smoothly confirming proper alignment and secure connections and documenting the repair and testing result for compliance.,Work Order Request_Files_/6aadd889.File Upload.062045.xlsx - DPC-TSD-IWR-062.pdf,,12/4/2024 14:10:52,Operational,Closed,12/11/2024 19:36:01,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 30 days,https://drive.google.com/file/d/1dWaDakxBB_352uj3AHoku8OCfjDlRurP/view
b8635a84,DPTPP-WR-2024-085,11/12/2024 7:10:08,CMS,Operations,DCS,,Turbine CRO DCS,Reset automatically and just keep on loading,At 0638H the turbine CRO DCS restarted automatically but after that the PC just keep showing a loading screen we manually reset the PC twice but the same thing keeps on happening.,11/12/2024 6:38:00,Work Order Request_Images/b8635a84.Pictures.000118.jpg,,Breakdown,I&C,Ferdinand A. Bona,For close-out,Y,,Y,Equipment Shutdown,Work Order Request_Files_/b8635a84.Methodology.052820.pdf,Inspection Completed,11/20/2024 13:32:09,,,,,,,,,,,,,,I&C Tech._A. Silang,,,,,,,,,,,,,,,,"Avoid running unnecessary app or trend to maximized hard drive performance. If still experiencing lagging and autoshutdown/autorestart immediately contact I&C for troubleshooting before operating the DCS. By taking these actions, we can minimize the likelihood of prolonged downtime of the DCS.",Work Order Request_Files_/b8635a84.File Upload.083904.pdf,Work Order Request_Files_/b8635a84.RCA Upload.083904.pdf,11/27/2024 16:37:57,Operational,Closed,12/3/2024 23:58:46,0,1,Closed,Closed,MSI,,Done,Done,Repaired in 21 days,https://drive.google.com/file/d/1rYZPv5W4tWFBbD42rsRpqbvMZNypKTuz/view
ad790a0b,DPTPP-WR-2024-086,11/13/2024 0:54:55,CMS,Operations,Miscellaneous,,"Dumptruck power take off, gear shifter, and parking break","Dumptruck power take off, gear shifter, and parking break stock up or not working","Around 9PM, our heavy equipment operator was about to dump the discharge bottom ash at the ash pond but the dump truck's power take off did not work, so they parked the dump truck at the ash pond and used the rental to finished the discharging of the bottom and fly ash. After the discharging, they were about to send the dump truck at the work shop but the parking break alarm won't disengage and the gear shifter won't transfer from high to low.",11/12/2024 21:00:00,Work Order Request_Images/ad790a0b.Pictures.170646.jpg,,Breakdown,Mechanical,Alfredo Tomenez / Jerson Santos / Ferdinand A. Bona,For close-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not DMCI equipment,,,,,,,Not DMCI Equipment,,,,Operational,Closed,11/25/2024 18:26:24,0,1,Closed,Closed,Maintenance,,Done,Done,Repaired in 12 days,https://drive.google.com/file/d/1ZKtLpoXYwA-6Y8VtDa0VwmMXOliQJHGK/view
ec906998,DPTPP-WR-2024-087,11/14/2024 5:42:41,CMS,Operations,Water Treatment Control System,,Water Treatment SCADA,No PLC Monitoring and Remote Control,"During normal routine inspection, @0401H Mr. Rodriguez noticed  that the water tank level exceeded over the parameter setting's set point of PLC Water Treatment System.
Unable to process all R.O'S and EDI to top up the Demin water.",11/14/2024 4:00:00,Work Order Request_Images/ec906998.Pictures.224916.jpg,,Sustainable,I&C,Eliezer Rodriguez,For close-out,N,,N,Non-Shutdown,Work Order Request_Files_/ec906998.Methodology.090718.pdf,Inspection completed,11/19/2024 8:20:10,TRUE,,11/19/2024 21:37:37,TRUE,TRUE,FALSE,TRUE,For schedule,11/20/2024 10:11:12,Permit to Work,Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/20/2024 11:20:37,I&C Tech._A. Silang,Work Order Request_Images/ec906998.Upload PTW.053545.jpg,11/20/2024 13:36:53,TRUE,TRUE,TRUE,TRUE,TRUE,11/20/2024 13:54:46,Japanese reset performed on PLC,N,Work Order Request_Images/ec906998.Photos.053545.jpg,System restored,Normal,11/20/2024 13:37:24,,"Continuously monitor the system to ensure it is collecting and transmitting data accurately. If there is discrepancy between on-site level transmitter and SCADA, report to supervisor to inform I&C for immediate troubleshooting.",Work Order Request_Files_/ec906998.File Upload.051655.pdf,,11/21/2024 13:16:11,Operational,Closed,11/25/2024 18:26:24,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 11 days,https://drive.google.com/file/d/1sJYpuuerTZnz17eDdS4eXz0kHVkPtlXn/view
0d204eca,DPTPP-WR-2024-088,11/14/2024 20:43:51,CMS,Operations,Slag Removal System,Chain Conveyor B,Lock pin,Detach lock pin,Unusual sound inside the conveyor and Detach lock pin,11/14/2024 0:00:00,Work Order Request_Images/0d204eca.Pictures.133414.jpg,,Breakdown,Mechanical,R.CORROZ/A.ABREA,For repair,Nails/welding rod,,None,Equipment Shutdown,Work Order Request_Files_/0d204eca.Methodology.021449.pdf,For repair,11/18/2024 10:15:01,TRUE,,11/18/2024 11:36:40,TRUE,TRUE,TRUE,TRUE,For schedule,11/18/2024 22:44:48,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/22/2024 16:18:55,"Mechanic_C. Ilagan , Mechanic_R. Botavara",Work Order Request_Images/0d204eca.Upload PTW.081209.jpg,11/20/2024 16:05:07,TRUE,TRUE,TRUE,TRUE,TRUE,11/22/2024 16:18:59,Inspected and replaced damaged chain link cotter pins and sliders. Adjusted chain tension.,Nails,Work Order Request_Images/0d204eca.Photos.081209.png,Repaired,Visually inspect chain links,11/20/2024 16:06:04,,"Regular inspection of Chain Conveyor A is recommended to assess wear, tension, and lubrication, verify the chain for any blockages or damage, and ensure all components are securely tightened to ensure efficient and smooth operation.",Work Order Request_Files_/0d204eca.File Upload.021321.xlsx - DPC-TSD-IWR-051.pdf,,11/24/2024 10:03:57,Operational,Closed,11/25/2024 18:06:36,0,1,Closed,Closed,Closed,Closed,Done,Done,Repaired in 11 days,https://drive.google.com/file/d/11CZIwUFESQs6LeU3RMYS1kqgaQ3Fo_J7/view
e969f00c,DPTPP-WR-2024-089,11/15/2024 9:41:05,CMS,Operations,Close Circulating Cooling Water System,Heat Exchanger A,heat exchanger filter,abnormal flowrate of sea water inlet,Abnormal flowrate of sea water inlet heat exchanger A & B due to accumulation of dirt on filter installed,11/15/2024 10:00:00,Work Order Request_Images/e969f00c.Pictures.020622.jpg,,Sustainable,Mechanical,Edward Aranga and Winston Senining,Inspected,None,,None,Equipment Shutdown,Work Order Request_Files_/e969f00c.Methodology.055813.pdf,For cleaning tomorrow,11/18/2024 13:58:26,TRUE,,11/19/2024 21:37:14,TRUE,TRUE,TRUE,TRUE,For schedule,11/20/2024 8:20:37,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/20/2024 11:22:26,"Mechanic_F.Esmenda , Mechanic_R.Salomon , Mechanic_C. Ilagan",Work Order Request_Images/e969f00c.Upload PTW.030204.jpg,11/26/2024 11:00:55,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:07:11,Pulled-out and cleaned strainers,None,Work Order Request_Images/e969f00c.Photos.030204.jpg,Done cleaning,Monitor pressure differential or heat exchangers,11/26/2024 11:01:26,,Remarks for the seawater inlet heat exchanger maintenance should include verifying proper flow rate restoration ensuring all components are checking for leak or blockages and documenting inspection and test results for compliance with performance standards.,Work Order Request_Files_/e969f00c.File Upload.074159.xlsx - DPC-TSD-IWR-063.pdf,,12/4/2024 15:31:56,Operational,Closed,12/11/2024 19:35:32,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 26 days,https://drive.google.com/file/d/1TIyCkJ5jth9tLCl0iBRaYgIbc7OfTDj_/view
24983468,DPTPP-WR-2024-090,11/16/2024 19:07:00,CMS,Operations,Slag Removal System,Slag Cooler A,Inlet and Outlet temperature transmitter,Malfunction of inlet and outlet temperature transmitter of Slag Cooler A,malfunction of inlet and outlet temperature sensor during operation,11/16/2024 0:00:00,Work Order Request_Images/24983468.Pictures.111745.jpg,,Sustainable,I&C,Alberth C. Apostol,Inspected,Y,,N,Non-Shutdown,Work Order Request_Files_/24983468.Methodology.073401.pdf,Inspection completed,11/22/2024 15:37:49,TRUE,,11/27/2024 9:17:11,TRUE,TRUE,TRUE,TRUE,"For schedule, on going process of spare parts",11/27/2024 9:19:33,Permit to Work,Ensure all safety protocols are followed. Wear PPEs properly. Conduct housekeeping after the work is done. Properly label and dispose wastes generated.,"hard hat, safety shoes, face mask, jacket/pants/coverall",12/2/2024 17:25:25,"I&C Tech._K.Gattoc , I&C Engr._R. Capuno , I&C Tech._E.Cualing",Work Order Request_Images/24983468.Upload PTW.080109.jpg,8/15/2025 15:23:20,TRUE,TRUE,TRUE,TRUE,FALSE,8/17/2025 17:23:07,Replaced Temperature Controller with RTD Transmitter,RTD transmitter 0-100°C,Work Order Request_Images/24983468.Photos.233133.jpg,Bad Signal Rectified,Inlet: 47.6°C Outlet: 52.7°C,8/18/2025 7:24:25,,,,,,,,,0,0,QA/QC,Operations,QA/QC,Closed,Done,Done,Pending for 282 days,https://drive.google.com/file/d/1OYEKunZ1OP5cEd4_RFMsF-Xs7grJnOQ1/view
cc152257,DPTPP-WR-2024-091,11/16/2024 19:18:26,CMS,Operations,Coal Handling System,Coal Feeder C,Coal feeder Cleaning Chain,Damage Lock pin of Cleaning chain,Damaged lock pin of cleaning chain during Operation,11/16/2024 0:00:00,Work Order Request_Images/cc152257.Pictures.114111.jpg,,Breakdown,Mechanical,Alberth C. Apostol,For repair,Welding Machine,,None,Equipment Shutdown,Work Order Request_Files_/cc152257.Methodology.022550.pdf,For repair,11/18/2024 10:26:02,TRUE,,11/18/2024 11:36:54,TRUE,TRUE,TRUE,TRUE,For schedule,11/18/2024 22:44:29,"Permit to Work , Lock Out Tag Out , Hot Works",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face shield, face mask, jacket/coverall",11/20/2024 11:24:01,"Mechanic_C. Ilagan , Mechanic_R. Botavara",Work Order Request_Images/cc152257.Upload PTW.083037.jpg,11/20/2024 16:22:48,TRUE,TRUE,TRUE,TRUE,TRUE,11/22/2024 16:19:45,Pulled-out chain then repaired broken links. Inspected all links.,None,Work Order Request_Images/cc152257.Photos.083037.jpg,Repaired,None,11/20/2024 16:24:29,,"Regular inspection of the cleaning chain on Coal Feeder C is recommended to check for wear, damage, or misalignment, ensure adequate lubrication, and replace any faulty components to ensure smooth and efficient operation.",Work Order Request_Files_/cc152257.File Upload.022130.xlsx - DPC-TSD-IWR-053.pdf,,11/24/2024 10:12:05,Operational,Closed,11/25/2024 18:05:30,0,1,Closed,Closed,Closed,,Done,Done,Repaired in 9 days,https://drive.google.com/file/d/1cSU1DLk14l8LvM-eGyuvRM1M3SU-9aPZ/view
1754125d,DPTPP-WR-2024-092,11/16/2024 23:12:02,CMS,Operations,Circulating Water System,Rubber Ball Distributor,ball mesh reciever,unable to fully close and open,"During conducting of CTCS, too much rubber ball lost, our suspect the mesh can't fully close and open or mesh are broken. Also we observe the condenser outlet pressure is positive pressure that means mesh still close even at DCS and actual are open (RUBBER BALL RECIEVER MESH CANT OPEN AND CLOSE).",11/16/2024 18:00:00,Work Order Request_Images/1754125d.Pictures.171429.jpg,,Sustainable,Mechanical,J. Gangano/I. Ambay,For Inspection,None,,None,Total Plant Shutdown,Work Order Request_Files_/1754125d.Methodology.005449.pdf,To be done on 1st PMS,12/10/2024 8:55:07,TRUE,,12/13/2024 12:13:34,TRUE,TRUE,TRUE,TRUE,Done Included to PMS scope,2/11/2025 21:35:57,Permit to Work,WEAR PPE AND ENSURE HOUSEKEEPING,"HARDHATS, SAFETY SHOES, JACKETS AND LONG PANTS, EAR MUFFS",3/12/2025 16:52:16,"Mechanic_J.Mumar , Mechanic_R. Parcon , Helper_S. Bundac",Work Order Request_Files_/1754125d.Upload PTW.061634.pdf,4/2/2025 14:15:11,TRUE,TRUE,TRUE,TRUE,TRUE,4/10/2025 10:12:14,Checked and adjusted flappers by NEPC,None,Work Order Request_Images/1754125d.Photos.061634.png,Repaired,Monitor rubber ball quantity every after condenser tube cleaning,4/2/2025 14:15:28,,QAQC advises regular inspection and testing of the rubber ball net actuator ensuring prompt cleaning and lubrication to avoid potential malfunctions.,Work Order Request_Files_/1754125d.File Upload.065502.pdf,,4/11/2025 14:54:24,Operational,Closed,4/15/2025 11:32:18,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 150 days,https://drive.google.com/file/d/13HGraXyHeYJ2N-yNVUgNQTPoDAmtcLqD/view
5600136b,DPTPP-WR-2024-093,11/17/2024 10:14:36,CMS,Operations,Coal Handling System,Coal Feeder A,Chute,Air leak,"Turned over by outgoing night shift. On normal operation, discovered during routine inspection.",11/17/2024 6:56:00,Work Order Request_Images/5600136b.Pictures.022020.jpg,,Sustainable,Mechanical,Ferdinand A. Bona,For repair,Epxylon,,None,Non-Shutdown,Work Order Request_Files_/5600136b.Methodology.021545.pdf,For repair,11/18/2024 10:15:58,TRUE,,11/18/2024 11:37:15,TRUE,TRUE,TRUE,TRUE,For schedule,11/18/2024 22:44:17,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/20/2024 11:25:34,"Mechanic_R.Salomon , Mechanic_C. Ilagan",Work Order Request_Images/5600136b.Upload PTW.014015.jpg,11/26/2024 9:38:14,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:07:45,Cleaned surface then applied epxylon.,Epxylon,Work Order Request_Images/5600136b.Photos.014014.jpg,Repaired,None,11/26/2024 9:38:38,,"For the coal feeder A discharge chute, this involves performing regular inspections to identify early signs of wear, ensuring the use of suitable sealing materials, and establishing a routine maintenance schedule to prevent future dust leaks.",Work Order Request_Files_/5600136b.File Upload.080324.xlsx - DPC-TSD-IWR-064.pdf,,12/4/2024 15:53:23,Operational,Closed,12/11/2024 19:34:56,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 24 days,https://drive.google.com/file/d/1RccFKdvfKan8BJ4JiLD5vNZGA8rCRfbM/view
c5073c52,DPTPP-WR-2024-094,11/17/2024 16:54:55,CMS,Operations,Coal Pipe System,Coal Feeder C,Sensor port,Air leak,"At 1620H, the maintenance finished installing the cleaning chain of coal feeder C and the operation have finished closing all manhole. We opened the sealing air to build up pressure then opened the exit door but the pressure did not drop indicating that it was still clogged and after a few minutes Mr. Corroz noticed a hissing sound. He sourced for the source and located it near the exit door, the sealing air looked for a weak point to exit. We opened one manhole so that the air inside the coal feeder C will not accumulate and cause fire/explosion.",11/17/2024 16:20:00,Work Order Request_Images/c5073c52.Pictures.090514.jpg,,Breakdown,Mechanical,Rodolfo Corruz IV / Ferdinand A. Bona,For closed-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Leak only happens during clogging. Normal operations no leak,,,,,,,Air leak only happens during clogging,,,,Operational,Closed,11/26/2024 18:05:30,0,1,Maintenance,Closed,Maintenance,,Done,Done,Repaired in 9 days,https://drive.google.com/file/d/1JfH0M8c5FqjVKQCDoOnxdSdcz3cgVQnI/view
500e3f7d,DPTPP-WR-2024-095,11/18/2024 15:21:46,CMS,Operations,Slag Removal System,Slag Cooler A,Flexible hose,Minimal water leak,Minimal water leaking at flexible hose of inlet cooling of Slag cooler A,11/18/2024 15:00:00,Work Order Request_Images/500e3f7d.Pictures.072932.jpg,,Sustainable,Mechanical,J.AQUE/F.BONA,For repair,Flexible hoses,,None,Equipment Shutdown,Work Order Request_Files_/500e3f7d.Methodology.074311.pdf,For replacement of new flexible hose,11/19/2024 15:43:23,TRUE,,11/19/2024 21:36:32,TRUE,TRUE,TRUE,TRUE,For schedule,11/20/2024 13:23:44,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall",11/20/2024 13:55:47,"Mechanic_F.Esmenda , Mechanic_J.Mumar , Mechanic_R. Botavara , Mechanic_C. Ilagan",Work Order Request_Images/500e3f7d.Upload PTW.022229.jpg,11/26/2024 10:20:28,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:08:35,Replaced with new flexible hoses,Flexible hose,Work Order Request_Images/500e3f7d.Photos.022229.jpg,Done replacement,Lower hose has minimal leak on the welding joint. Report if the leak got worsen.,11/26/2024 10:21:04,,For the flexible hose the inlet cooling in slag cooler A should include verifying the hose is properly installed with no visible leaks confirming secure connections checking for proper alignment and documenting the repair process and inspection result to ensure compliance with quality standards.,Work Order Request_Files_/500e3f7d.File Upload.085906.xlsx - DPC-TSD-IWR-065.pdf,,12/4/2024 16:47:48,Operational,Closed,12/11/2024 19:34:31,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 23 days,https://drive.google.com/file/d/1nhqcdAG0rU8axwbNitkyBZctZJambGaN/view
3fe64399,DPTPP-WR-2024-096,11/18/2024 19:50:12,CMS,Operations,Coal Handling System,Belt Conveyor 1B,Conveyor Belt,Damaged conveyor belt,Discovered during final cleaning of coal system,11/18/2024 19:52:00,Work Order Request_Images/3fe64399.Pictures.115918.jpg,,Sustainable,Mechanical,Joy Magada / Ferdinand A. Bona,For repair,Belt glue/adhesive,,None,Equipment Shutdown,Work Order Request_Files_/3fe64399.Methodology.020746.pdf,For repair,11/19/2024 10:07:59,TRUE,,11/19/2024 21:35:48,TRUE,TRUE,TRUE,TRUE,For schedule,11/20/2024 8:20:20,"Permit to Work , Lock Out Tag Out",Ensure all safety protocols are followed. Wear required PPEs properly. Perform housekeeping after the work is done. Segregate and dispose generated wastes properly.,"hard hat, safety shoes, face mask, jacket/coverall, gloves",11/20/2024 11:27:40,"Mechanic_F.Esmenda , Mechanic_C. Ilagan , Mechanic_R. Botavara",Work Order Request_Images/3fe64399.Upload PTW.021912.jpg,11/26/2024 10:16:34,TRUE,TRUE,TRUE,TRUE,TRUE,12/3/2024 9:09:41,Repaired belt joint using belt glue/adhesive,Belt glue,Work Order Request_Images/3fe64399.Photos.021912.jpg,Repaired and cured,None,11/26/2024 10:16:56,,performing regular inspections for wear and using high quality sealing materials prevent break downs.,Work Order Request_Files_/3fe64399.File Upload.084451.xlsx - DPC-TSD-IWR-066.pdf,,12/5/2024 16:35:04,Operational,Closed,12/11/2024 19:33:21,0,0,Closed,Closed,Closed,,Done,Done,Repaired in 23 days,https://drive.google.com/file/d/1TewiusMtKH_dsovW0shv28WDnD5XiZDh/view
